ip,requests,error_requests,error_rate,unique_ports,ddos,port_scan,error_source
203.0.113.200,80000,0,0,2,yes,no,no
192.0.2.99,36673,36673,100,1,yes,no,yes
198.51.100.5,23227,23227,100,65,yes,yes,yes
192.168.1.112,3004,0,0,3,no,no,no
192.168.1.188,3004,0,0,3,no,no,no
192.168.1.203,3004,0,0,3,no,no,no
192.168.1.84,3004,0,0,3,no,no,no
192.168.1.127,3003,0,0,3,no,no,no
192.168.1.150,3003,0,0,3,no,no,no
192.168.1.155,3003,0,0,3,no,no,no
192.168.1.16,3003,0,0,3,no,no,no
192.168.1.201,3003,0,0,3,no,no,no
192.168.1.213,3003,0,0,3,no,no,no
192.168.1.34,3003,0,0,3,no,no,no
192.168.1.59,3003,0,0,3,no,no,no
192.168.1.74,3003,0,0,3,no,no,no
192.168.1.8,3003,0,0,3,no,no,no
192.168.1.100,3002,0,0,3,no,no,no
192.168.1.110,3002,0,0,3,no,no,no
192.168.1.122,3002,0,0,3,no,no,no
192.168.1.123,3002,0,0,3,no,no,no
192.168.1.125,3002,0,0,3,no,no,no
192.168.1.135,3002,0,0,3,no,no,no
192.168.1.137,3002,0,0,3,no,no,no
192.168.1.140,3002,0,0,3,no,no,no
192.168.1.145,3002,0,0,3,no,no,no
192.168.1.149,3002,0,0,3,no,no,no
192.168.1.151,3002,0,0,3,no,no,no
192.168.1.153,3002,0,0,3,no,no,no
192.168.1.162,3002,0,0,3,no,no,no
192.168.1.163,3002,0,0,3,no,no,no
192.168.1.165,3002,0,0,3,no,no,no
192.168.1.170,3002,0,0,3,no,no,no
192.168.1.176,3002,0,0,3,no,no,no
192.168.1.178,3002,0,0,3,no,no,no
192.168.1.19,3002,0,0,3,no,no,no
192.168.1.190,3002,0,0,3,no,no,no
192.168.1.193,3002,0,0,3,no,no,no
192.168.1.20,3002,0,0,3,no,no,no
192.168.1.215,3002,0,0,3,no,no,no
192.168.1.216,3002,0,0,3,no,no,no
192.168.1.22,3002,0,0,3,no,no,no
192.168.1.26,3002,0,0,3,no,no,no
192.168.1.31,3002,0,0,3,no,no,no
192.168.1.36,3002,0,0,3,no,no,no
192.168.1.45,3002,0,0,3,no,no,no
192.168.1.46,3002,0,0,3,no,no,no
192.168.1.47,3002,0,0,3,no,no,no
192.168.1.49,3002,0,0,3,no,no,no
192.168.1.6,3002,0,0,3,no,no,no
192.168.1.61,3002,0,0,3,no,no,no
192.168.1.69,3002,0,0,3,no,no,no
192.168.1.7,3002,0,0,3,no,no,no
192.168.1.72,3002,0,0,3,no,no,no
192.168.1.73,3002,0,0,3,no,no,no
192.168.1.97,3002,0,0,3,no,no,no
192.168.1.1,3001,0,0,3,no,no,no
192.168.1.10,3001,0,0,3,no,no,no
192.168.1.102,3001,0,0,3,no,no,no
192.168.1.107,3001,0,0,3,no,no,no
192.168.1.11,3001,0,0,3,no,no,no
192.168.1.111,3001,0,0,3,no,no,no
192.168.1.117,3001,0,0,3,no,no,no
192.168.1.124,3001,0,0,3,no,no,no
192.168.1.139,3001,0,0,3,no,no,no
192.168.1.158,3001,0,0,3,no,no,no
192.168.1.160,3001,0,0,3,no,no,no
192.168.1.164,3001,0,0,3,no,no,no
192.168.1.174,3001,0,0,3,no,no,no
192.168.1.175,3001,0,0,3,no,no,no
192.168.1.177,3001,0,0,3,no,no,no
192.168.1.18,3001,0,0,3,no,no,no
192.168.1.180,3001,0,0,3,no,no,no
192.168.1.182,3001,0,0,3,no,no,no
192.168.1.186,3001,0,0,3,no,no,no
192.168.1.189,3001,0,0,3,no,no,no
192.168.1.199,3001,0,0,3,no,no,no
192.168.1.209,3001,0,0,3,no,no,no
192.168.1.21,3001,0,0,3,no,no,no
192.168.1.211,3001,0,0,3,no,no,no
192.168.1.217,3001,0,0,3,no,no,no
192.168.1.24,3001,0,0,3,no,no,no
192.168.1.3,3001,0,0,3,no,no,no
192.168.1.32,3001,0,0,3,no,no,no
192.168.1.35,3001,0,0,3,no,no,no
192.168.1.41,3001,0,0,3,no,no,no
192.168.1.43,3001,0,0,3,no,no,no
192.168.1.44,3001,0,0,3,no,no,no
192.168.1.51,3001,0,0,3,no,no,no
192.168.1.54,3001,0,0,3,no,no,no
192.168.1.57,3001,0,0,3,no,no,no
192.168.1.71,3001,0,0,3,no,no,no
192.168.1.77,3001,0,0,3,no,no,no
192.168.1.79,3001,0,0,3,no,no,no
192.168.1.82,3001,0,0,3,no,no,no
192.168.1.85,3001,0,0,3,no,no,no
192.168.1.86,3001,0,0,3,no,no,no
192.168.1.87,3001,0,0,3,no,no,no
192.168.1.88,3001,0,0,3,no,no,no
192.168.1.92,3001,0,0,3,no,no,no
192.168.1.96,3001,0,0,3,no,no,no
192.168.1.98,3001,0,0,3,no,no,no
192.168.1.99,3001,0,0,3,no,no,no
192.168.1.104,3000,0,0,3,no,no,no
192.168.1.108,3000,0,0,3,no,no,no
192.168.1.109,3000,0,0,3,no,no,no
192.168.1.113,3000,0,0,3,no,no,no
192.168.1.114,3000,0,0,3,no,no,no
192.168.1.115,3000,0,0,3,no,no,no
192.168.1.116,3000,0,0,3,no,no,no
192.168.1.118,3000,0,0,3,no,no,no
192.168.1.119,3000,0,0,3,no,no,no
192.168.1.12,3000,0,0,3,no,no,no
192.168.1.120,3000,0,0,3,no,no,no
192.168.1.126,3000,0,0,3,no,no,no
192.168.1.128,3000,0,0,3,no,no,no
192.168.1.130,3000,0,0,3,no,no,no
192.168.1.131,3000,0,0,3,no,no,no
192.168.1.132,3000,0,0,3,no,no,no
192.168.1.136,3000,0,0,3,no,no,no
192.168.1.138,3000,0,0,3,no,no,no
192.168.1.14,3000,0,0,3,no,no,no
192.168.1.142,3000,0,0,3,no,no,no
192.168.1.143,3000,0,0,3,no,no,no
192.168.1.147,3000,0,0,3,no,no,no
192.168.1.154,3000,0,0,3,no,no,no
192.168.1.161,3000,0,0,3,no,no,no
192.168.1.166,3000,0,0,3,no,no,no
192.168.1.168,3000,0,0,3,no,no,no
192.168.1.172,3000,0,0,3,no,no,no
192.168.1.183,3000,0,0,3,no,no,no
192.168.1.184,3000,0,0,3,no,no,no
192.168.1.185,3000,0,0,3,no,no,no
192.168.1.191,3000,0,0,3,no,no,no
192.168.1.192,3000,0,0,3,no,no,no
192.168.1.196,3000,0,0,3,no,no,no
192.168.1.197,3000,0,0,3,no,no,no
192.168.1.198,3000,0,0,3,no,no,no
192.168.1.200,3000,0,0,3,no,no,no
192.168.1.202,3000,0,0,3,no,no,no
192.168.1.205,3000,0,0,3,no,no,no
192.168.1.207,3000,0,0,3,no,no,no
192.168.1.208,3000,0,0,3,no,no,no
192.168.1.214,3000,0,0,3,no,no,no
192.168.1.218,3000,0,0,3,no,no,no
192.168.1.219,3000,0,0,3,no,no,no
192.168.1.28,3000,0,0,3,no,no,no
192.168.1.30,3000,0,0,3,no,no,no
192.168.1.33,3000,0,0,3,no,no,no
192.168.1.38,3000,0,0,3,no,no,no
192.168.1.39,3000,0,0,3,no,no,no
192.168.1.42,3000,0,0,3,no,no,no
192.168.1.48,3000,0,0,3,no,no,no
192.168.1.5,3000,0,0,3,no,no,no
192.168.1.53,3000,0,0,3,no,no,no
192.168.1.55,3000,0,0,3,no,no,no
192.168.1.58,3000,0,0,3,no,no,no
192.168.1.62,3000,0,0,3,no,no,no
192.168.1.64,3000,0,0,3,no,no,no
192.168.1.65,3000,0,0,3,no,no,no
192.168.1.67,3000,0,0,3,no,no,no
192.168.1.70,3000,0,0,3,no,no,no
192.168.1.75,3000,0,0,3,no,no,no
192.168.1.80,3000,0,0,3,no,no,no
192.168.1.81,3000,0,0,3,no,no,no
192.168.1.89,3000,0,0,3,no,no,no
192.168.1.9,3000,0,0,3,no,no,no
192.168.1.94,3000,0,0,3,no,no,no
192.168.1.101,2999,0,0,3,no,no,no
192.168.1.103,2999,0,0,3,no,no,no
192.168.1.105,2999,0,0,3,no,no,no
192.168.1.106,2999,0,0,3,no,no,no
192.168.1.121,2999,0,0,3,no,no,no
192.168.1.129,2999,0,0,3,no,no,no
192.168.1.13,2999,0,0,3,no,no,no
192.168.1.133,2999,0,0,3,no,no,no
192.168.1.141,2999,0,0,3,no,no,no
192.168.1.146,2999,0,0,3,no,no,no
192.168.1.148,2999,0,0,3,no,no,no
192.168.1.15,2999,0,0,3,no,no,no
192.168.1.152,2999,0,0,3,no,no,no
192.168.1.156,2999,0,0,3,no,no,no
192.168.1.157,2999,0,0,3,no,no,no
192.168.1.159,2999,0,0,3,no,no,no
192.168.1.167,2999,0,0,3,no,no,no
192.168.1.173,2999,0,0,3,no,no,no
192.168.1.181,2999,0,0,3,no,no,no
192.168.1.187,2999,0,0,3,no,no,no
192.168.1.194,2999,0,0,3,no,no,no
192.168.1.195,2999,0,0,3,no,no,no
192.168.1.204,2999,0,0,3,no,no,no
192.168.1.212,2999,0,0,3,no,no,no
192.168.1.220,2999,0,0,3,no,no,no
192.168.1.23,2999,0,0,3,no,no,no
192.168.1.29,2999,0,0,3,no,no,no
192.168.1.37,2999,0,0,3,no,no,no
192.168.1.4,2999,0,0,3,no,no,no
192.168.1.40,2999,0,0,3,no,no,no
192.168.1.50,2999,0,0,3,no,no,no
192.168.1.56,2999,0,0,3,no,no,no
192.168.1.60,2999,0,0,3,no,no,no
192.168.1.63,2999,0,0,3,no,no,no
192.168.1.66,2999,0,0,3,no,no,no
192.168.1.68,2999,0,0,3,no,no,no
192.168.1.76,2999,0,0,3,no,no,no
192.168.1.78,2999,0,0,3,no,no,no
192.168.1.83,2999,0,0,3,no,no,no
192.168.1.90,2999,0,0,3,no,no,no
192.168.1.91,2999,0,0,3,no,no,no
192.168.1.93,2999,0,0,3,no,no,no
192.168.1.134,2998,0,0,3,no,no,no
192.168.1.144,2998,0,0,3,no,no,no
192.168.1.169,2998,0,0,3,no,no,no
192.168.1.17,2998,0,0,3,no,no,no
192.168.1.179,2998,0,0,3,no,no,no
192.168.1.2,2998,0,0,3,no,no,no
192.168.1.206,2998,0,0,3,no,no,no
192.168.1.27,2998,0,0,3,no,no,no
192.168.1.52,2998,0,0,3,no,no,no
192.168.1.95,2998,0,0,3,no,no,no
192.168.1.171,2997,0,0,3,no,no,no
192.168.1.210,2997,0,0,3,no,no,no
192.168.1.25,2997,0,0,3,no,no,no
