ip,requests,error_requests,error_rate,unique_ports,ddos,port_scan,error_source
203.0.113.200,15000,0,0,2,yes,no,no
192.0.2.99,6876,6876,100,1,no,no,yes
198.51.100.5,4355,4355,100,65,no,yes,yes
192.168.1.112,565,0,0,3,no,no,no
192.168.1.36,565,0,0,3,no,no,no
192.168.1.1,564,0,0,3,no,no,no
192.168.1.11,564,0,0,3,no,no,no
192.168.1.117,564,0,0,3,no,no,no
192.168.1.118,564,0,0,3,no,no,no
192.168.1.120,564,0,0,3,no,no,no
192.168.1.122,564,0,0,3,no,no,no
192.168.1.127,564,0,0,3,no,no,no
192.168.1.140,564,0,0,3,no,no,no
192.168.1.145,564,0,0,3,no,no,no
192.168.1.149,564,0,0,3,no,no,no
192.168.1.150,564,0,0,3,no,no,no
192.168.1.151,564,0,0,3,no,no,no
192.168.1.153,564,0,0,3,no,no,no
192.168.1.155,564,0,0,3,no,no,no
192.168.1.16,564,0,0,3,no,no,no
192.168.1.170,564,0,0,3,no,no,no
192.168.1.188,564,0,0,3,no,no,no
192.168.1.203,564,0,0,3,no,no,no
192.168.1.208,564,0,0,3,no,no,no
192.168.1.40,564,0,0,3,no,no,no
192.168.1.42,564,0,0,3,no,no,no
192.168.1.46,564,0,0,3,no,no,no
192.168.1.54,564,0,0,3,no,no,no
192.168.1.59,564,0,0,3,no,no,no
192.168.1.7,564,0,0,3,no,no,no
192.168.1.73,564,0,0,3,no,no,no
192.168.1.74,564,0,0,3,no,no,no
192.168.1.79,564,0,0,3,no,no,no
192.168.1.85,564,0,0,3,no,no,no
192.168.1.9,564,0,0,3,no,no,no
192.168.1.97,564,0,0,3,no,no,no
192.168.1.10,563,0,0,3,no,no,no
192.168.1.100,563,0,0,3,no,no,no
192.168.1.101,563,0,0,3,no,no,no
192.168.1.105,563,0,0,3,no,no,no
192.168.1.107,563,0,0,3,no,no,no
192.168.1.110,563,0,0,3,no,no,no
192.168.1.113,563,0,0,3,no,no,no
192.168.1.116,563,0,0,3,no,no,no
192.168.1.123,563,0,0,3,no,no,no
192.168.1.126,563,0,0,3,no,no,no
192.168.1.131,563,0,0,3,no,no,no
192.168.1.132,563,0,0,3,no,no,no
192.168.1.136,563,0,0,3,no,no,no
192.168.1.139,563,0,0,3,no,no,no
192.168.1.14,563,0,0,3,no,no,no
192.168.1.143,563,0,0,3,no,no,no
192.168.1.144,563,0,0,3,no,no,no
192.168.1.15,563,0,0,3,no,no,no
192.168.1.158,563,0,0,3,no,no,no
192.168.1.159,563,0,0,3,no,no,no
192.168.1.163,563,0,0,3,no,no,no
192.168.1.165,563,0,0,3,no,no,no
192.168.1.171,563,0,0,3,no,no,no
192.168.1.175,563,0,0,3,no,no,no
192.168.1.176,563,0,0,3,no,no,no
192.168.1.177,563,0,0,3,no,no,no
192.168.1.178,563,0,0,3,no,no,no
192.168.1.182,563,0,0,3,no,no,no
192.168.1.183,563,0,0,3,no,no,no
192.168.1.184,563,0,0,3,no,no,no
192.168.1.186,563,0,0,3,no,no,no
192.168.1.189,563,0,0,3,no,no,no
192.168.1.19,563,0,0,3,no,no,no
192.168.1.190,563,0,0,3,no,no,no
192.168.1.193,563,0,0,3,no,no,no
192.168.1.194,563,0,0,3,no,no,no
192.168.1.196,563,0,0,3,no,no,no
192.168.1.197,563,0,0,3,no,no,no
192.168.1.198,563,0,0,3,no,no,no
192.168.1.20,563,0,0,3,no,no,no
192.168.1.201,563,0,0,3,no,no,no
192.168.1.202,563,0,0,3,no,no,no
192.168.1.204,563,0,0,3,no,no,no
192.168.1.209,563,0,0,3,no,no,no
192.168.1.21,563,0,0,3,no,no,no
192.168.1.213,563,0,0,3,no,no,no
192.168.1.216,563,0,0,3,no,no,no
192.168.1.217,563,0,0,3,no,no,no
192.168.1.26,563,0,0,3,no,no,no
192.168.1.27,563,0,0,3,no,no,no
192.168.1.3,563,0,0,3,no,no,no
192.168.1.31,563,0,0,3,no,no,no
192.168.1.32,563,0,0,3,no,no,no
192.168.1.34,563,0,0,3,no,no,no
192.168.1.35,563,0,0,3,no,no,no
192.168.1.39,563,0,0,3,no,no,no
192.168.1.41,563,0,0,3,no,no,no
192.168.1.43,563,0,0,3,no,no,no
192.168.1.45,563,0,0,3,no,no,no
192.168.1.47,563,0,0,3,no,no,no
192.168.1.48,563,0,0,3,no,no,no
192.168.1.5,563,0,0,3,no,no,no
192.168.1.50,563,0,0,3,no,no,no
192.168.1.55,563,0,0,3,no,no,no
