ip,requests,error_requests,error_rate,unique_ports,ddos,port_scan,error_source
203.0.113.10,10000,0,0,1,yes,no,no
192.0.2.55,3020,3020,100,1,no,no,yes
198.51.100.77,2432,2432,100,65,no,yes,yes
172.16.1.105,518,132,25,8,no,no,no
172.16.1.87,513,116,23,8,no,no,no
172.16.1.138,508,121,24,8,no,no,no
172.16.1.50,508,107,21,8,no,no,no
172.16.1.53,508,124,24,8,no,no,no
172.16.1.136,507,118,23,8,no,no,no
172.16.1.122,506,125,25,8,no,no,no
172.16.1.174,505,111,22,8,no,no,no
172.16.1.162,502,131,26,8,no,no,no
172.16.1.64,502,91,18,8,no,no,no
172.16.1.22,501,108,22,8,no,no,no
172.16.1.37,501,107,21,8,no,no,no
172.16.1.63,501,104,21,8,no,no,no
172.16.1.169,500,127,25,8,no,no,no
172.16.1.60,500,114,23,8,no,no,no
172.16.1.62,499,131,26,8,no,no,no
172.16.1.145,498,113,23,8,no,no,no
172.16.1.157,498,107,21,8,no,no,no
172.16.1.175,498,103,21,8,no,no,no
172.16.1.47,498,110,22,8,no,no,no
172.16.1.61,498,115,23,8,no,no,no
172.16.1.124,497,132,27,8,no,no,no
172.16.1.139,495,114,23,8,no,no,no
172.16.1.116,494,117,24,8,no,no,no
172.16.1.77,494,118,24,8,no,no,no
172.16.1.159,493,104,21,8,no,no,no
172.16.1.51,493,100,20,8,no,no,no
172.16.1.56,493,108,22,8,no,no,no
172.16.1.165,492,115,23,8,no,no,no
172.16.1.70,492,94,19,8,no,no,no
172.16.1.130,491,123,25,8,no,no,no
172.16.1.100,490,107,22,8,no,no,no
172.16.1.34,490,106,22,8,no,no,no
172.16.1.91,490,126,26,8,no,no,no
172.16.1.92,490,91,19,8,no,no,no
172.16.1.93,490,115,23,8,no,no,no
172.16.1.144,489,110,22,8,no,no,no
172.16.1.167,489,99,20,8,no,no,no
172.16.1.43,488,104,21,8,no,no,no
172.16.1.85,488,91,19,8,no,no,no
172.16.1.24,487,109,22,8,no,no,no
172.16.1.25,487,102,21,8,no,no,no
172.16.1.66,487,117,24,8,no,no,no
172.16.1.135,485,108,22,8,no,no,no
172.16.1.146,485,118,24,8,no,no,no
172.16.1.65,484,110,23,8,no,no,no
172.16.1.69,484,119,25,8,no,no,no
172.16.1.79,484,103,21,8,no,no,no
172.16.1.39,483,107,22,8,no,no,no
172.16.1.74,483,113,23,8,no,no,no
172.16.1.90,483,98,20,8,no,no,no
